step,id,x,y,gx,gy,priority,battery,blocked
2,15,13,7,0,0,-1,98,0
2,16,11,15,2,17,2,98,0
2,17,3,1,13,11,2,98,0
2,18,2,0,17,8,2,98,0
2,19,10,7,1,3,2,98,0
2,20,18,1,13,3,1,98,0
2,21,11,5,16,1,1,98,0
2,22,17,2,17,17,0,98,0
2,23,6,8,2,10,1,98,0
2,24,18,6,3,11,1,98,0
2,25,19,6,17,9,2,98,0
2,26,8,17,2,14,1,98,0
2,27,9,0,7,8,0,98,0
2,28,1,2,17,8,2,98,0
2,29,5,9,10,3,2,98,0
3,0,5,17,1,6,1,97,0
3,1,9,15,2,9,2,97,0
3,2,4,2,13,12,0,98,1
3,3,5,11,1,19,0,97,0
3,4,18,15,9,18,1,97,0
3,5,5,1,11,1,2,97,0
3,6,15,18,10,6,2,97,0
3,7,3,18,17,7,1,97,0
3,8,9,10,7,3,0,97,0
3,9,13,13,13,3,1,97,0
3,10,15,1,19,16,0,97,0
3,11,11,2,7,14,1,97,0
3,12,1,17,12,0,2,97,0
3,13,1,18,19,10,2,97,0
3,14,2,18,1,6,1,97,0
3,15,13,6,0,0,-1,97,0
3,16,10,15,2,17,2,97,0
3,17,2,1,13,11,2,97,0
3,18,1,0,17,8,2,97,0
3,19,9,7,1,3,2,97,0
3,20,19,1,13,3,1,97,0
3,21,11,4,16,1,1,97,0
3,22,17,3,17,17,0,97,0
3,23,5,8,2,10,1,97,0
3,24,18,5,3,11,1,97,0
3,25,19,5,17,9,2,97,0
3,26,7,17,2,14,1,97,0
3,27,9,1,7,8,0,97,0
3,28,1,1,17,8,2,97,0
3,29,5,9,10,3,2,98,1
4,0,4,17,1,6,1,96,0
4,1,9,16,2,9,2,96,0
4,2,5,2,13,12,0,97,1
4,3,5,12,1,19,0,96,0
4,4,18,16,9,18,1,96,0
4,5,4,1,11,1,2,96,0
4,6,16,18,10,6,2,96,0
4,7,3,18,17,7,1,97,1
4,8,9,9,7,3,0,96,0
4,9,13,12,13,3,1,96,0
4,10,16,1,19,16,0,96,0
4,11,10,2,7,14,1,96,0
4,12,1,17,12,0,2,97,1
4,13,0,18,19,10,2,96,0
4,14,2,18,1,6,1,97,1
4,15,13,5,0,0,-1,96,0
4,16,10,16,2,17,2,96,0
4,17,2,1,13,11,2,97,1
4,18,1,0,17,8,2,97,1
4,19,9,6,1,3,2,96,0
4,20,18,1,13,3,1,96,0
4,21,11,3,16,1,1,96,0
4,22,17,4,17,17,0,96,0
4,23,5,7,2,10,1,96,0
4,24,18,4,3,11,1,96,0
4,25,19,4,17,9,2,96,0
4,26,6,17,2,14,1,96,0
4,27,8,1,7,8,0,96,0
4,28,0,1,17,8,2,96,0
4,29,5,9,10,3,2,98,2
5,0,3,17,1,6,1,95,0
5,1,9,17,2,9,2,95,0
5,2,6,2,13,12,0,96,1
5,3,5,13,1,19,0,95,0
5,4,18,17,9,18,1,95,0
5,5,3,1,11,1,2,95,0
5,6,17,18,10,6,2,95,0
5,7,3,18,17,7,1,97,2
5,8,9,8,7,3,0,95,0
5,9,13,11,13,3,1,95,0
5,10,17,1,19,16,0,95,0
5,11,9,2,7,14,1,95,0
5,12,1,18,12,0,2,96,1
5,13,0,18,19,10,2,96,1
5,14,2,18,1,6,1,97,2
5,15,13,4,0,0,-1,95,0
5,16,10,17,2,17,2,95,0
5,17,1,1,13,11,2,96,1
5,18,1,0,17,8,2,97,2
5,19,9,5,1,3,2,95,0
5,20,19,1,13,3,1,95,0
5,21,11,2,16,1,1,95,0
5,22,17,5,17,17,0,95,0
5,23,5,6,2,10,1,95,0
5,24,18,3,3,11,1,95,0
5,25,19,3,17,9,2,95,0
5,26,5,17,2,14,1,95,0
5,27,7,1,7,8,0,95,0
5,28,0,1,17,8,2,96,1
5,29,5,8,10,3,2,97,2
6,0,2,17,1,6,1,94,0
6,1,8,17,2,9,2,94,0
6,2,7,2,13,12,0,95,1
6,3,5,14,1,19,0,94,0
6,4,18,18,9,18,1,94,0
6,5,2,1,11,1,2,94,0
6,6,17,18,10,6,2,95,1
6,7,3,18,17,7,1,97,3
6,8,9,7,7,3,0,94,0
6,9,13,10,13,3,1,94,0
6,10,18,1,19,16,0,94,0
6,11,8,2,7,14,1,94,0
6,12,1,17,12,0,2,95,1
6,13,0,18,19,10,2,96,2
6,14,2,18,1,6,1,97,3
6,15,13,3,0,0,-1,94,0
6,16,10,18,2,17,2,94,0
6,17,1,2,13,11,2,95,1
6,18,1,0,17,8,2,97,3
6,19,9,4,1,3,2,94,0
6,20,19,1,13,3,1,95,1
6,21,12,2,16,1,1,94,0
6,22,17,6,17,17,0,94,0
6,23,5,5,2,10,1,94,0
6,24,18,2,3,11,1,94,0
6,25,19,2,17,9,2,94,0
6,26,4,17,2,14,1,94,0
6,27,7,1,7,8,0,95,1
6,28,0,1,17,8,2,96,2
6,29,5,7,10,3,2,96,2
7,0,2,17,1,6,1,94,1
7,1,7,17,2,9,2,93,0
7,2,7,2,13,12,0,95,2
7,3,5,15,1,19,0,93,0
7,4,18,19,9,18,1,93,0
7,5,1,1,11,1,2,93,0
7,6,17,18,10,6,2,95,2
7,7,3,18,17,7,1,97,4
7,8,9,6,7,3,0,93,0
7,9,13,9,13,3,1,93,0
7,10,17,1,19,16,0,93,0
7,11,8,2,7,14,1,94,1
7,12,1,18,12,0,2,94,1
7,13,0,18,19,10,2,96,3
7,14,2,18,1,6,1,97,4
7,15,13,2,0,0,-1,93,0
7,16,9,18,2,17,2,93,0
7,17,1,2,13,11,2,95,2
7,18,1,0,17,8,2,97,4
7,19,9,3,1,3,2,93,0
7,20,19,1,13,3,1,95,2
7,21,12,2,16,1,1,94,1
7,22,17,7,17,17,0,93,0
7,23,5,4,2,10,1,93,0
7,24,18,2,3,11,1,94,1
7,25,19,2,17,9,2,94,1
7,26,3,17,2,14,1,93,0
7,27,7,1,7,8,0,95,2
7,28,0,1,17,8,2,96,3
7,29,5,6,10,3,2,95,2
8,0,1,17,1,6,1,93,1
8,1,6,17,2,9,2,92,0
8,2,7,2,13,12,0,95,3
8,3,5,16,1,19,0,92,0
8,4,18,18,9,18,1,92,0
8,5,2,1,11,1,2,92,0
8,6,17,18,10,6,2,95,3
8,7,3,18,17,7,1,97,5
8,8,9,5,7,3,0,92,0
8,9,13,8,13,3,1,92,0
8,10,18,1,19,16,0,92,0
8,11,8,2,7,14,1,94,2
8,12,1,19,12,0,2,93,1
8,13,0,18,19,10,2,96,4
8,14,2,18,1,6,1,97,5
8,15,13,1,0,0,-1,92,0
8,16,8,18,2,17,2,92,0
8,17,1,2,13,11,2,95,3
8,18,1,0,17,8,2,97,5
8,19,9,2,1,3,2,92,0
8,20,19,1,13,3,1,95,3
8,21,12,1,16,1,1,93,1
8,22,17,8,17,17,0,92,0
8,23,5,3,2,10,1,92,0
8,24,18,2,3,11,1,94,2
8,25,19,2,17,9,2,94,2
8,26,3,16,2,14,1,92,0
8,27,7,1,7,8,0,95,3
8,28,0,1,17,8,2,96,4
8,29,5,5,10,3,2,94,2
9,0,1,18,1,6,1,92,1
9,1,5,17,2,9,2,91,0
9,2,7,2,13,12,0,95,4
9,3,5,16,1,19,0,92,1
9,4,18,19,9,18,1,91,0
9,5,1,1,11,1,2,91,0
9,6,17,18,10,6,2,95,4
9,7,3,18,17,7,1,97,6
9,8,9,4,7,3,0,91,0
9,9,13,7,13,3,1,91,0
9,10,17,1,19,16,0,91,0
9,11,8,2,7,14,1,94,3
9,12,1,19,12,0,2,93,2
9,13,0,18,19,10,2,96,5
9,14,2,18,1,6,1,97,6
9,15,13,1,0,0,-1,92,1
9,16,7,18,2,17,2,91,0
9,17,1,2,13,11,2,95,4
9,18,1,0,17,8,2,97,6
9,19,9,1,1,3,2,91,0
9,20,19,1,13,3,1,95,4
9,21,12,1,16,1,1,93,2
9,22,17,9,17,17,0,91,0
9,23,5,2,2,10,1,91,0
9,24,18,2,3,11,1,94,3
9,25,19,2,17,9,2,94,3
9,26,3,15,2,14,1,91,0
9,27,7,1,7,8,0,95,4
9,28,0,1,17,8,2,96,5
9,29,5,4,10,3,2,93,2
10,0,1,17,1,6,1,91,1
10,1,5,18,2,9,2,90,0
10,2,7,2,13,12,0,95,5
10,3,5,16,1,19,0,92,2
10,4,18,18,9,18,1,90,0
10,5,2,1,11,1,2,90,0
10,6,17,18,10,6,2,95,5
10,7,3,18,17,7,1,97,7
10,8,9,3,7,3,0,90,0
10,9,13,6,13,3,1,90,0
10,10,18,1,19,16,0,90,0
10,11,8,2,7,14,1,94,4
10,12,1,19,12,0,2,93,3
10,13,0,18,19,10,2,96,6
10,14,2,18,1,6,1,97,7
10,15,13,1,0,0,-1,92,2
10,16,6,18,2,17,2,90,0
10,17,1,2,13,11,2,95,5
10,18,1,0,17,8,2,97,7
10,19,8,1,1,3,2,90,0
10,20,19,1,13,3,1,95,5
10,21,12,1,16,1,1,93,3
10,22,17,10,17,17,0,90,0
10,23,4,2,2,10,1,90,0
10,24,18,2,3,11,1,94,4
10,25,19,2,17,9,2,94,4
10,26,3,14,2,14,1,90,0
10,27,7,1,7,8,0,95,5
10,28,0,1,17,8,2,96,6
10,29,5,3,10,3,2,92,2
11,0,1,18,1,6,1,90,1
11,1,4,18,2,9,2,89,0
11,2,7,2,13,12,0,95,6
11,3,5,17,1,19,0,91,2
11,4,18,19,9,18,1,89,0
11,5,1,1,11,1,2,89,0
11,6,17,18,10,6,2,95,6
11,7,3,18,17,7,1,97,8
11,8,9,2,7,3,0,89,0
11,9,13,5,13,3,1,89,0
11,10,18,0,19,16,0,89,0
11,11,8,2,7,14,1,94,5
11,12,1,19,12,0,2,93,4
11,13,0,18,19,10,2,96,7
11,14,2,18,1,6,1,97,8
11,15,13,1,0,0,-1,92,3
11,16,6,18,2,17,2,90,1
11,17,1,2,13,11,2,95,6
11,18,1,0,17,8,2,97,8
11,19,8,1,1,3,2,90,1
11,20,19,1,13,3,1,95,6
11,21,12,1,16,1,1,93,4
11,22,17,11,17,17,0,89,0
11,23,3,2,2,10,1,89,0
11,24,18,2,3,11,1,94,5
11,25,19,2,17,9,2,94,5
11,26,2,14,2,14,1,89,0
11,27,7,1,7,8,0,95,6
11,28,0,1,17,8,2,96,7
11,29,5,2,10,3,2,91,2
12,0,1,17,1,6,1,89,1
12,1,4,18,2,9,2,89,1
12,2,7,2,13,12,0,95,7
12,3,5,18,1,19,0,90,2
12,4,18,18,9,18,1,88,0
12,5,2,1,11,1,2,88,0
12,6,17,18,10,6,2,95,7
12,7,3,18,17,7,1,97,9
12,8,9,2,7,3,0,89,1
12,9,13,4,13,3,1,88,0
12,10,18,1,19,16,0,88,0
12,11,8,2,7,14,1,94,6
12,12,1,19,12,0,2,93,5
12,13,0,18,19,10,2,96,8
12,14,2,18,1,6,1,97,9
12,15,13,1,0,0,-1,92,4
12,16,6,18,2,17,2,90,2
12,17,1,2,13,11,2,95,7
12,18,1,0,17,8,2,97,9
12,19,8,1,1,3,2,90,2
12,20,19,1,13,3,1,95,7
12,21,12,1,16,1,1,93,5
12,22,17,12,17,17,0,88,0
12,23,3,1,2,10,1,88,0
12,24,18,2,3,11,1,94,6
12,25,19,2,17,9,2,94,6
12,26,-1,-1,-1,-1,-1,100,0
12,27,7,1,7,8,0,95,7
12,28,0,1,17,8,2,96,8
12,29,4,2,10,3,2,90,2
13,0,1,18,1,6,1,88,1
13,1,4,18,2,9,2,89,2
13,2,7,2,13,12,0,95,8
13,3,5,18,1,19,0,90,3
13,4,18,19,9,18,1,87,0
13,5,1,1,11,1,2,87,0
13,6,17,18,10,6,2,95,8
13,7,3,18,17,7,1,97,10
13,8,9,2,7,3,0,89,2
13,9,13,3,13,3,1,87,0
13,10,18,0,19,16,0,87,0
13,11,8,2,7,14,1,94,7
13,12,1,19,12,0,2,93,6
13,13,0,18,19,10,2,96,9
13,14,2,18,1,6,1,97,10
13,15,13,1,0,0,-1,92,5
13,16,6,18,2,17,2,90,3
13,17,1,2,13,11,2,95,8
13,18,1,0,17,8,2,97,10
13,19,8,1,1,3,2,90,3
13,20,19,1,13,3,1,95,8
13,21,12,1,16,1,1,93,6
13,22,17,13,17,17,0,87,0
13,23,3,1,2,10,1,88,1
13,24,18,2,3,11,1,94,7
13,25,19,2,17,9,2,94,7
13,26,-1,-1,-1,-1,-1,100,0
13,27,7,1,7,8,0,95,8
13,28,0,1,17,8,2,96,9
13,29,4,1,10,3,2,89,2
14,0,1,17,1,6,1,87,1
14,1,4,18,2,9,2,89,3
14,2,7,2,13,12,0,95,9
14,3,5,18,1,19,0,90,4
14,4,18,18,9,18,1,86,0
14,5,2,1,11,1,2,86,0
14,6,17,18,10,6,2,95,9
14,7,3,18,17,7,1,97,11
14,8,9,2,7,3,0,89,3
14,9,-1,-1,-1,-1,-1,100,0
14,10,18,1,19,16,0,86,0
14,11,8,2,7,14,1,94,8
14,12,1,19,12,0,2,93,7
14,13,0,18,19,10,2,96,10
14,14,2,18,1,6,1,97,11
14,15,13,1,0,0,-1,92,6
14,16,6,18,2,17,2,90,4
14,17,1,2,13,11,2,95,9
14,18,1,0,17,8,2,97,11
14,19,8,1,1,3,2,90,4
14,20,19,1,13,3,1,95,9
14,21,12,1,16,1,1,93,7
14,22,17,14,17,17,0,86,0
14,23,3,1,2,10,1,88,2
14,24,18,2,3,11,1,94,8
14,25,19,2,17,9,2,94,8
14,26,-1,-1,-1,-1,-1,100,0
14,27,7,1,7,8,0,95,9
14,28,0,1,17,8,2,96,10
14,29,4,1,10,3,2,89,3
15,0,1,18,1,6,1,86,1
15,1,4,18,2,9,2,89,4
15,2,7,2,13,12,0,95,10
15,3,5,18,1,19,0,90,5
15,4,18,19,9,18,1,85,0
15,5,1,1,11,1,2,85,0
15,6,17,18,10,6,2,95,10
15,7,3,18,17,7,1,97,12
15,8,9,2,7,3,0,89,4
15,9,-1,-1,-1,-1,-1,100,0
15,10,18,0,19,16,0,85,0
15,11,8,2,7,14,1,94,9
15,12,1,19,12,0,2,93,8
15,13,0,18,19,10,2,96,11
15,14,2,18,1,6,1,97,12
15,15,13,1,0,0,-1,92,7
15,16,6,18,2,17,2,90,5
15,17,1,2,13,11,2,95,10
15,18,1,0,17,8,2,97,12
15,19,8,1,1,3,2,90,5
15,20,19,1,13,3,1,95,10
15,21,12,1,16,1,1,93,8
15,22,17,15,17,17,0,85,0
15,23,3,1,2,10,1,88,3
15,24,18,2,3,11,1,94,9
15,25,19,2,17,9,2,94,9
15,26,-1,-1,-1,-1,-1,100,0
15,27,7,1,7,8,0,95,10
15,28,0,1,17,8,2,96,11
15,29,4,1,10,3,2,89,4
16,0,1,17,1,6,1,85,1
16,1,4,18,2,9,2,89,5
16,2,7,2,13,12,0,95,11
16,3,5,18,1,19,0,90,6
16,4,18,18,9,18,1,84,0
16,5,2,1,11,1,2,84,0
16,6,17,18,10,6,2,95,11
16,7,3,18,17,7,1,97,13
16,8,9,2,7,3,0,89,5
16,9,-1,-1,-1,-1,-1,100,0
16,10,18,1,19,16,0,84,0
16,11,8,2,7,14,1,94,10
16,12,1,19,12,0,2,93,9
16,13,0,18,19,10,2,96,12
16,14,2,18,1,6,1,97,13
16,15,13,1,0,0,-1,92,8
16,16,6,18,2,17,2,90,6
16,17,1,2,13,11,2,95,11
16,18,1,0,17,8,2,97,13
16,19,8,1,1,3,2,90,6
16,20,19,1,13,3,1,95,11
16,21,12,1,16,1,1,93,9
16,22,17,16,17,17,0,84,0
16,23,3,1,2,10,1,88,4
16,24,18,2,3,11,1,94,10
16,25,19,2,17,9,2,94,10
16,26,-1,-1,-1,-1,-1,100,0
16,27,7,1,7,8,0,95,11
16,28,0,1,17,8,2,96,12
16,29,4,1,10,3,2,89,5
17,0,1,18,1,6,1,84,1
17,1,4,18,2,9,2,89,6
17,2,7,2,13,12,0,95,12
17,3,5,18,1,19,0,90,7
17,4,19,18,9,18,1,83,0
17,5,1,1,11,1,2,83,0
17,6,17,18,10,6,2,95,12
17,7,3,18,17,7,1,97,14
17,8,9,2,7,3,0,89,6
17,9,-1,-1,-1,-1,-1,100,0
17,10,18,0,19,16,0,83,0
17,11,8,2,7,14,1,94,11
17,12,1,19,12,0,2,93,10
17,13,0,18,19,10,2,96,13
17,14,2,18,1,6,1,97,14
17,15,13,1,0,0,-1,92,9
17,16,6,18,2,17,2,90,7
17,17,1,2,13,11,2,95,12
17,18,1,0,17,8,2,97,14
17,19,8,1,1,3,2,90,7
17,20,19,1,13,3,1,95,12
17,21,12,1,16,1,1,93,10
17,22,17,17,17,17,0,83,0
17,23,3,1,2,10,1,88,5
17,24,18,2,3,11,1,94,11
17,25,19,2,17,9,2,94,11
17,26,-1,-1,-1,-1,-1,100,0
17,27,7,1,7,8,0,95,12
17,28,0,1,17,8,2,96,13
17,29,4,1,10,3,2,89,6
18,0,1,17,1,6,1,83,1
18,1,4,18,2,9,2,89,7
18,2,7,2,13,12,0,95,13
18,3,5,18,1,19,0,90,8
18,4,18,18,9,18,1,82,0
18,5,2,1,11,1,2,82,0
18,6,17,18,10,6,2,95,13
18,7,3,18,17,7,1,97,15
18,8,9,2,7,3,0,89,7
18,9,-1,-1,-1,-1,-1,100,0
18,10,18,1,19,16,0,82,0
18,11,8,2,7,14,1,94,12
18,12,1,19,12,0,2,93,11
18,13,0,18,19,10,2,96,14
18,14,2,18,1,6,1,97,15
18,15,13,1,0,0,-1,92,10
18,16,6,18,2,17,2,90,8
18,17,1,2,13,11,2,95,13
18,18,1,0,17,8,2,97,15
18,19,8,1,1,3,2,90,8
18,20,19,1,13,3,1,95,13
18,21,12,1,16,1,1,93,11
18,22,-1,-1,-1,-1,-1,100,0
18,23,3,1,2,10,1,88,6
18,24,18,2,3,11,1,94,12
18,25,19,2,17,9,2,94,12
18,26,-1,-1,-1,-1,-1,100,0
18,27,7,1,7,8,0,95,13
18,28,0,1,17,8,2,96,14
18,29,4,1,10,3,2,89,7
19,0,1,18,1,6,1,82,1
19,1,4,18,2,9,2,89,8
19,2,7,2,13,12,0,95,14
19,3,5,18,1,19,0,90,9
19,4,18,19,9,18,1,81,0
19,5,1,1,11,1,2,81,0
19,6,17,18,10,6,2,95,14
19,7,3,18,17,7,1,97,16
19,8,9,2,7,3,0,89,8
19,9,-1,-1,-1,-1,-1,100,0
19,10,17,1,19,16,0,81,0
19,11,8,2,7,14,1,94,13
19,12,1,19,12,0,2,93,12
19,13,0,18,19,10,2,96,15
19,14,2,18,1,6,1,97,16
19,15,13,1,0,0,-1,92,11
19,16,6,18,2,17,2,90,9
19,17,1,2,13,11,2,95,14
19,18,1,0,17,8,2,97,16
19,19,8,1,1,3,2,90,9
19,20,19,1,13,3,1,95,14
19,21,12,1,16,1,1,93,12
19,22,-1,-1,-1,-1,-1,100,0
19,23,3,1,2,10,1,88,7
19,24,18,2,3,11,1,94,13
19,25,19,2,17,9,2,94,13
19,26,-1,-1,-1,-1,-1,100,0
19,27,7,1,7,8,0,95,14
19,28,0,1,17,8,2,96,15
19,29,4,1,10,3,2,89,8
20,0,1,17,1,6,1,81,1
20,1,4,18,2,9,2,89,9
20,2,7,2,13,12,0,95,15
20,3,5,18,1,19,0,90,10
20,4,18,18,9,18,1,80,0
20,5,2,1,11,1,2,80,0
20,6,17,18,10,6,2,95,15
20,7,3,18,17,7,1,97,17
20,8,9,2,7,3,0,89,9
20,9,-1,-1,-1,-1,-1,100,0
20,10,18,1,19,16,0,80,0
20,11,8,2,7,14,1,94,14
20,12,1,19,12,0,2,93,13
20,13,0,18,19,10,2,96,16
20,14,2,18,1,6,1,97,17
20,15,13,1,0,0,-1,92,12
20,16,6,18,2,17,2,90,10
20,17,1,2,13,11,2,95,15
20,18,1,0,17,8,2,97,17
20,19,8,1,1,3,2,90,10
20,20,19,1,13,3,1,95,15
20,21,12,1,16,1,1,93,13
20,22,-1,-1,-1,-1,-1,100,0
20,23,3,1,2,10,1,88,8
20,24,18,2,3,11,1,94,14
20,25,19,2,17,9,2,94,14
20,26,-1,-1,-1,-1,-1,100,0
20,27,7,1,7,8,0,95,15
20,28,0,1,17,8,2,96,16
20,29,4,1,10,3,2,89,9
21,0,1,18,1,6,1,80,1
21,1,4,18,2,9,2,89,10
21,2,7,2,13,12,0,95,16
21,3,5,18,1,19,0,90,11
21,4,19,18,9,18,1,79,0
21,5,1,1,11,1,2,79,0
21,6,17,18,10,6,2,95,16
21,7,3,18,17,7,1,97,18
21,8,9,2,7,3,0,89,10
21,9,-1,-1,-1,-1,-1,100,0
21,10,18,0,19,16,0,79,0
21,11,8,2,7,14,1,94,15
21,12,1,19,12,0,2,93,14
21,13,0,18,19,10,2,96,17
21,14,2,18,1,6,1,97,18
21,15,13,1,0,0,-1,92,13
21,16,6,18,2,17,2,90,11
21,17,1,2,13,11,2,95,16
21,18,1,0,17,8,2,97,18
21,19,8,1,1,3,2,90,11
21,20,19,1,13,3,1,95,16
21,21,12,1,16,1,1,93,14
21,22,-1,-1,-1,-1,-1,100,0
21,23,3,1,2,10,1,88,9
21,24,18,2,3,11,1,94,15
21,25,19,2,17,9,2,94,15
21,26,-1,-1,-1,-1,-1,100,0
21,27,7,1,7,8,0,95,16
21,28,0,1,17,8,2,96,17
21,29,4,1,10,3,2,89,10
22,0,1,17,1,6,1,79,1
22,1,4,18,2,9,2,89,11
22,2,7,2,13,12,0,95,17
22,3,5,18,1,19,0,90,12
22,4,18,18,9,18,1,78,0
22,5,2,1,11,1,2,78,0
22,6,17,18,10,6,2,95,17
22,7,3,18,17,7,1,97,19
22,8,9,2,7,3,0,89,11
22,9,-1,-1,-1,-1,-1,100,0
22,10,18,1,19,16,0,78,0
22,11,8,2,7,14,1,94,16
22,12,1,19,12,0,2,93,15
22,13,0,18,19,10,2,96,18
22,14,2,18,1,6,1,97,19
22,15,13,1,0,0,-1,92,14
22,16,6,18,2,17,2,90,12
22,17,1,2,13,11,2,95,17
22,18,1,0,17,8,2,97,19
22,19,8,1,1,3,2,90,12
22,20,19,1,13,3,1,95,17
22,21,12,1,16,1,1,93,15
22,22,-1,-1,-1,-1,-1,100,0
22,23,3,1,2,10,1,88,10
22,24,18,2,3,11,1,94,16
22,25,19,2,17,9,2,94,16
22,26,-1,-1,-1,-1,-1,100,0
22,27,7,1,7,8,0,95,17
22,28,0,1,17,8,2,96,18
22,29,4,1,10,3,2,89,11
23,0,1,18,1,6,1,78,1
23,1,4,18,2,9,2,89,12
23,2,7,2,13,12,0,95,18
23,3,5,18,1,19,0,90,13
23,4,19,18,9,18,1,77,0
23,5,1,1,11,1,2,77,0
23,6,17,18,10,6,2,95,18
23,7,3,18,17,7,1,97,20
23,8,9,2,7,3,0,89,12
23,9,-1,-1,-1,-1,-1,100,0
23,10,18,0,19,16,0,77,0
23,11,8,2,7,14,1,94,17
23,12,1,19,12,0,2,93,16
23,13,0,18,19,10,2,96,19
23,14,2,18,1,6,1,97,20
23,15,13,1,0,0,-1,92,15
23,16,6,18,2,17,2,90,13
23,17,1,2,13,11,2,95,18
23,18,1,0,17,8,2,97,20
23,19,8,1,1,3,2,90,13
23,20,19,1,13,3,1,95,18
23,21,12,1,16,1,1,93,16
23,22,-1,-1,-1,-1,-1,100,0
23,23,3,1,2,10,1,88,11
23,24,18,2,3,11,1,94,17
23,25,19,2,17,9,2,94,17
23,26,-1,-1,-1,-1,-1,100,0
23,27,7,1,7,8,0,95,18
23,28,0,1,17,8,2,96,19
23,29,4,1,10,3,2,89,12
24,0,1,17,1,6,1,77,1
24,1,4,18,2,9,2,89,13
24,2,7,2,13,12,0,95,19
24,3,5,18,1,19,0,90,14
24,4,18,18,9,18,1,76,0
24,5,2,1,11,1,2,76,0
24,6,17,18,10,6,2,95,19
24,7,3,18,17,7,1,97,21
24,8,9,2,7,3,0,89,13
24,9,-1,-1,-1,-1,-1,100,0
24,10,18,1,19,16,0,76,0
24,11,8,2,7,14,1,94,18
24,12,1,19,12,0,2,93,17
24,13,0,18,19,10,2,96,20
24,14,2,18,1,6,1,97,21
24,15,13,1,0,0,-1,92,16
24,16,6,18,2,17,2,90,14
24,17,1,2,13,11,2,95,19
24,18,1,0,17,8,2,97,21
24,19,8,1,1,3,2,90,14
24,20,19,1,13,3,1,95,19
24,21,12,1,16,1,1,93,17
24,22,-1,-1,-1,-1,-1,100,0
24,23,3,1,2,10,1,88,12
24,24,18,2,3,11,1,94,18
24,25,19,2,17,9,2,94,18
24,26,-1,-1,-1,-1,-1,100,0
24,27,7,1,7,8,0,95,19
24,28,0,1,17,8,2,96,20
24,29,4,1,10,3,2,89,13
25,0,1,18,1,6,1,76,1
25,1,4,18,2,9,2,89,14
25,2,7,2,13,12,0,95,20
25,3,5,18,1,19,0,90,15
25,4,18,19,9,18,1,75,0
25,5,1,1,11,1,2,75,0
25,6,17,18,10,6,2,95,20
25,7,3,18,17,7,1,97,22
25,8,9,2,7,3,0,89,14
25,9,-1,-1,-1,-1,-1,100,0
25,10,17,1,19,16,0,75,0
25,11,8,2,7,14,1,94,19
25,12,1,19,12,0,2,93,18
25,13,0,18,19,10,2,96,21
